in:Setback_N,in:Setback_M,in:Setback_S,in:Height_N,in:Height_M,in:Height_S,out:blank,out:DirSunChange,out:AvgDirSun,out:SolRadChange,out:AvgSolRad,img_1,img_2,img_3,img_4,img_5,img_6
ext,ext,ext,ext,ext,ext,,0,3.89,0,0.42,northarrow.png,ext_1.png,ext_3.png,LegendDirSun.png,ext_2.png,LegendSolRad.png
84,84,84,13,13,13,,+18.42,+4.61,+19.33,+0.50,northarrow.png,-83.6.13.-83.6.13.-83.6.13_1.png,-83.6.13.-83.6.13.-83.6.13_3.png,LegendDirSun.png,-83.6.13.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,42,13,13,13,,+18.42,+4.61,+19.34,+0.50,northarrow.png,-41.8.13.-83.6.13.-83.6.13_1.png,-41.8.13.-83.6.13.-83.6.13_3.png,LegendDirSun.png,-41.8.13.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,0,13,13,13,,+18.42,+4.61,+19.35,+0.50,northarrow.png,0.13.-83.6.13.-83.6.13_1.png,0.13.-83.6.13.-83.6.13_3.png,LegendDirSun.png,0.13.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,84,13,13,26,,+18.16,+4.60,+18.70,+0.50,northarrow.png,-83.6.26.-83.6.13.-83.6.13_1.png,-83.6.26.-83.6.13.-83.6.13_3.png,LegendDirSun.png,-83.6.26.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,42,13,13,26,,+18.42,+4.61,+19.30,+0.50,northarrow.png,-41.8.26.-83.6.13.-83.6.13_1.png,-41.8.26.-83.6.13.-83.6.13_3.png,LegendDirSun.png,-41.8.26.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,0,13,13,26,,+18.42,+4.61,+19.35,+0.50,northarrow.png,0.26.-83.6.13.-83.6.13_1.png,0.26.-83.6.13.-83.6.13_3.png,LegendDirSun.png,0.26.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,84,13,13,39,,+15.80,+4.51,+14.21,+0.48,northarrow.png,-83.6.39.-83.6.13.-83.6.13_1.png,-83.6.39.-83.6.13.-83.6.13_3.png,LegendDirSun.png,-83.6.39.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,42,13,13,39,,+18.29,+4.61,+18.92,+0.50,northarrow.png,-41.8.39.-83.6.13.-83.6.13_1.png,-41.8.39.-83.6.13.-83.6.13_3.png,LegendDirSun.png,-41.8.39.-83.6.13.-83.6.13_2.png,LegendSolRad.png
84,84,0,13,13,39,,+18.42,+4.61,+19.35,+0.50,northarrow.png,0.39.-83.6.13.-83.6.13_1.png,0.39.-83.6.13.-83.6.13_3.png,LegendDirSun.png,0.39.-83.6.13.-83.6.13_2.png,LegendSolRad.png
